Date, Price, Open, High, Low, Vol., Change %

Jan 14, 2018, 0.405741, 0.455548, 0.455548, 0.401643, 1.11M, -10.93%
Jan 13, 2018, 0.455548, 0.424820, 0.482468, 0.424694, 1.14M, 6.81%
Jan 12, 2018, 0.426522, 0.381900, 0.442336, 0.354927, 1.19M, 11.68%
Jan 11, 2018, 0.381900, 0.399644, 0.433302, 0.295491, 1.74M, -4.17%
Jan 10, 2018, 0.398525, 0.431516, 0.433817, 0.344502, 1.34M, -7.65%
Jan 09, 2018, 0.431516, 0.459476, 0.475784, 0.420293, 1.09M, -6.09%
Jan 08, 2018, 0.459476, 0.517325, 0.517325, 0.401643, 1.15M, -10.89%
Jan 07, 2018, 0.515624, 0.515386, 0.554700, 0.492036, 1.10M, 0.05%
Jan 06, 2018, 0.515386, 0.483377, 0.518994, 0.444275, 1.40M, 6.62%
Jan 05, 2018, 0.483377, 0.474687, 0.534660, 0.462101, 961.37K, 1.83%
Jan 04, 2018, 0.474687, 0.493281, 0.564308, 0.444275, 989.23K, -3.77%
Jan 03, 2018, 0.493281, 0.289143, 0.548780, 0.287617, 1.59M, 70.60%
Jan 02, 2018, 0.289143, 0.254695, 0.304174, 0.248248, 1.83M, 13.53%
Jan 01, 2018, 0.254695, 0.222104, 0.286151, 0.222104, 1.64M, 14.67%
Dec 31, 2017, 0.222104, 0.159098, 0.226285, 0.154954, 3.00M, 39.60%
Dec 30, 2017, 0.159098, 0.168603, 0.180000, 0.147032, 3.33M, -6.04%
Dec 29, 2017, 0.169327, 0.143199, 0.176033, 0.143199, 3.53M, 18.25%
Dec 28, 2017, 0.143199, 0.153753, 0.154182, 0.131067, 3.83M, -6.86%
Dec 27, 2017, 0.153753, 0.137352, 0.166972, 0.133824, 4.44M, 11.94%
Dec 26, 2017, 0.137352, 0.138164, 0.140776, 0.133057, 4.40M, -0.59%
Dec 25, 2017, 0.138164, 0.134445, 0.142372, 0.128472, 4.37M, 2.77%
Dec 24, 2017, 0.134445, 0.146050, 0.146780, 0.120141, 4.20M, -8.86%
Dec 23, 2017, 0.147514, 0.151619, 0.156438, 0.146824, 4.31M, -2.29%
Dec 22, 2017, 0.150978, 0.131645, 0.158848, 0.114218, 4.53M, 14.69%
Dec 21, 2017, 0.131645, 0.160675, 0.161109, 0.103591, 4.13M, -18.07%
Dec 20, 2017, 0.160675, 0.188584, 0.199508, 0.149087, 3.47M, -14.80%
Dec 19, 2017, 0.188584, 0.172910, 0.220000, 0.166798, 3.51M, 9.06%
Dec 18, 2017, 0.172910, 0.154115, 0.185757, 0.154115, 4.12M, 12.20%
Dec 17, 2017, 0.154115, 0.114865, 0.180458, 0.111507, 4.19M, 34.17%
Dec 16, 2017, 0.114865, 0.071462, 0.119191, 0.070943, 6.55M, 60.73%
Dec 15, 2017, 0.071462, 0.074661, 0.075456, 0.061783, 8.08M, -4.63%
Dec 14, 2017, 0.074931, 0.059880, 0.075456, 0.059760, 8.83M, 25.14%
Dec 13, 2017, 0.059880, 0.059040, 0.062576, 0.055802, 9.00M, 1.42%
Dec 12, 2017, 0.059040, 0.061357, 0.061904, 0.057123, 9.19M, -3.97%
Dec 11, 2017, 0.061479, 0.052033, 0.062234, 0.052033, 5.72M, 18.15%
Dec 10, 2017, 0.052033, 0.057523, 0.057784, 0.045062, 6.84M, -9.82%
Dec 09, 2017, 0.057699, 0.061524, 0.064127, 0.057652, 5.59M, -6.22%
Dec 08, 2017, 0.061524, 0.053101, 0.063550, 0.046661, 6.87M, 15.86%
Dec 07, 2017, 0.053101, 0.064164, 0.064629, 0.052171, 5.98M, -17.24%
Dec 06, 2017, 0.064164, 0.072330, 0.073973, 0.062929, 3.72M, -11.29%
Dec 05, 2017, 0.072330, 0.075148, 0.075148, 0.069000, 3.69M, -3.75%
